786030.68	190930.34
786030.75	190932.34
786030.81	190934.34
786030.88	190936.34
786030.94	190938.34
786031.00	190940.29
786031.07	190942.29
786031.13	190944.29
786031.20	190946.29
786031.26	190948.29
786031.32	190950.37
786031.39	190952.37
786031.45	190954.37
786031.52	190956.37
786031.58	190958.37
786031.64	190960.61
786031.71	190962.61
786031.77	190964.61
786031.84	190966.61
786031.90	190968.61
786031.96	190970.61
786032.03	190972.61
786032.09	190974.61
786032.16	190976.61
786032.22	190978.61
786032.29	190980.04
786034.29	190979.91
786036.29	190979.77
786038.29	190979.64
786040.29	190979.51
786042.37	190979.37
786044.37	190979.24
786046.37	190979.10
786048.37	190978.97
786050.37	190978.84
786052.57	190978.70
786054.57	190978.57
786056.57	190978.44
786058.57	190978.30
786060.57	190978.17
786062.32	190978.03
786064.32	190977.90
786066.32	190977.77
786068.32	190977.63
786070.32	190977.50
786072.42	190977.37
786074.42	190977.23
786076.42	190977.10
786078.42	190976.96
786080.42	190976.83
786081.72	190976.70
786081.69	190974.70
786081.66	190972.70
786081.63	190970.70
786081.60	190968.70
786081.57	190966.55
786081.53	190964.55
786081.50	190962.55
786081.47	190960.55
786081.44	190958.55
786081.41	190956.47
786081.38	190954.47
786081.35	190952.47
786081.32	190950.47
786081.29	190948.47
786081.26	190946.27
786081.23	190944.27
786081.20	190942.27
786081.17	190940.27
786081.14	190938.27
786081.11	190936.17
786081.08	190934.17
786081.05	190932.17
786081.02	190930.17
786080.99	190928.17
786080.96	190927.21
786078.96	190927.35
786076.96	190927.49
786074.96	190927.62
786072.96	190927.76
786070.56	190927.90
786068.56	190928.04
786066.56	190928.18
786064.56	190928.31
786062.56	190928.45
786060.16	190928.59
786058.16	190928.83
786056.16	190929.08
786054.16	190929.32
786052.16	190929.57
786050.19	190929.81
786048.19	190929.81
786046.19	190929.81
786044.19	190929.81
786042.19	190929.81
786039.99	190929.81
786037.99	190929.92
786035.99	190930.02
786033.99	190930.13
786031.99	190930.24
786032.30	190939.94
786034.30	190939.58
786036.30	190939.22
786038.30	190938.87
786040.30	190938.51
786042.35	190938.46
786044.35	190938.42
786046.35	190938.37
786048.35	190938.33
786050.35	190938.28
786052.65	190938.21
786054.65	190938.14
786056.65	190938.08
786058.65	190938.01
786060.65	190937.94
786062.30	190937.88
786064.30	190937.82
786066.30	190937.77
786068.30	190937.71
786070.30	190937.65
786073.11	190937.35
786075.11	190937.06
786077.11	190936.76
786079.11	190936.46
786079.19	190946.58
786077.19	190946.90
786075.19	190947.22
786073.19	190947.53
786071.19	190947.85
786069.49	190947.97
786067.49	190948.09
786065.49	190948.20
786063.49	190948.32
786061.49	190948.44
786059.57	190948.46
786057.57	190948.48
786055.57	190948.49
786053.57	190948.51
786051.57	190948.53
786049.07	190948.55
786047.07	190948.56
786045.07	190948.58
786043.07	190948.59
786041.07	190948.61
786039.32	190948.96
786037.32	190949.32
786035.32	190949.67
786033.32	190950.02
786033.94	190960.49
786035.94	190960.37
786037.94	190960.25
786039.94	190960.13
786041.94	190960.01
786044.14	190960.01
786046.14	190960.02
786048.14	190960.02
786050.14	190960.03
786052.14	190960.03
786054.04	190959.95
786056.04	190959.87
786058.04	190959.80
786060.04	190959.72
786062.04	190959.64
786063.44	190959.43
786065.44	190959.22
786067.44	190959.02
786069.44	190958.81
786071.44	190958.60
786073.41	190958.17
786075.41	190957.75
786077.41	190957.32
786079.41	190956.89
786079.86	190966.79
786077.86	190967.03
786075.86	190967.27
786073.86	190967.51
786071.86	190967.75
786070.31	190967.96
786068.31	190968.17
786066.31	190968.37
786064.31	190968.58
786062.31	190968.79
786060.06	190968.84
786058.06	190968.89
786056.06	190968.93
786054.06	190968.98
786052.06	190969.03
786050.26	190969.17
786048.26	190969.30
786046.26	190969.44
786044.26	190969.57
786042.26	190969.71
786039.96	190969.89
786037.96	190970.07
786035.96	190970.25
786033.96	190970.43
786042.34	190977.71
786042.32	190975.71
786042.30	190973.71
786042.28	190971.71
786042.20	190968.01
786042.14	190966.01
786042.07	190964.01
786042.01	190962.01
786041.77	190956.61
786041.60	190954.61
786041.42	190952.61
786041.25	190950.61
786040.92	190946.51
786040.77	190944.51
786040.61	190942.51
786040.46	190940.51
786040.24	190937.81
786040.18	190935.81
786040.11	190933.81
786040.05	190931.81
786050.22	190930.28
786050.25	190932.28
786050.29	190934.28
786050.32	190936.28
786050.60	190940.53
786050.84	190942.53
786051.09	190944.53
786051.33	190946.53
786051.69	190952.03
786051.80	190954.03
786051.92	190956.03
786052.03	190958.03
786052.13	190961.03
786052.11	190963.03
786052.10	190965.03
786052.08	190967.03
786052.16	190970.70
786052.26	190972.70
786052.36	190974.70
786052.46	190976.70
786062.31	190976.79
786062.31	190974.79
786062.31	190972.79
786062.31	190970.79
786062.26	190967.64
786062.21	190965.64
786062.15	190963.64
786062.10	190961.64
786061.93	190956.44
786061.82	190954.44
786061.71	190952.44
786061.60	190950.44
786061.33	190945.94
786061.16	190943.94
786060.99	190941.94
786060.82	190939.94
786060.55	190936.59
786060.46	190934.59
786060.36	190932.59
786060.26	190930.59
786070.51	190929.65
786070.46	190931.65
786070.41	190933.65
786070.35	190935.65
786070.48	190939.85
786070.66	190941.85
786070.84	190943.85
786071.02	190945.85
786071.24	190950.60
786071.29	190952.60
786071.34	190954.60
786071.39	190956.60
786071.53	190959.75
786071.61	190961.75
786071.70	190963.75
786071.78	190965.75
786071.97	190969.37
786072.08	190971.37
786072.19	190973.37
786072.30	190975.37
